Card Id,Passenger Id,Card Number,Issue Date,Balance,Status
85,3499,SC00000085,2022-10-09,1353.43,Active
86,5537,SC00000086,2023-01-31,275.99,Active
87,3684,SC00000087,2025-10-12,1470.49,Active
88,2214,SC00000088,2025-02-05,745.41,Expired
89,7795,SC00000089,2024-09-18,855.55,Expired
90,2046,SC00000090,2022-03-22,1860.47,Expired
91,2176,SC00000091,2024-12-15,1428.3,Active
92,4966,SC00000092,2023-02-28,448.98,Blocked
93,9148,SC00000093,2023-06-17,1055.15,Expired
94,3455,SC00000094,2024-12-19,2791.21,Active
95,4275,SC00000095,2024-12-02,2869.44,Blocked
96,5285,SC00000096,2023-03-29,1032.11,Active
97,7572,SC00000097,2025-06-03,114.32,Blocked
98,283,SC00000098,2024-02-21,666.75,Blocked
99,2955,SC00000099,2025-02-15,501.8,Expired
100,4768,SC00000100,2025-07-08,436.19,Active
101,5161,SC00000101,2025-05-07,1406.14,Blocked
102,1072,SC00000102,2022-03-30,887.4,Expired
103,6295,SC00000103,2023-02-19,304.94,Active
104,2316,SC00000104,2025-01-25,1838.15,Active
105,5567,SC00000105,2023-09-04,1145.52,Active
106,9088,SC00000106,2022-04-30,694.93,Expired
107,3536,SC00000107,2025-05-12,1471.55,Blocked
108,5533,SC00000108,2023-01-09,624.16,Expired
109,4485,SC00000109,2024-10-24,977.59,Active
110,7729,SC00000110,2024-08-01,591.23,Active
111,482,SC00000111,2023-04-14,1669.86,Expired
112,1283,SC00000112,2025-05-23,2455.51,Active
113,8383,SC00000113,2024-02-24,2858,Blocked
114,7570,SC00000114,2023-01-10,324.2,Active
115,4085,SC00000115,2022-02-02,427.48,Expired
116,6889,SC00000116,2025-04-02,1166.13,Blocked
117,6444,SC00000117,2024-06-27,449.17,Expired
118,4373,SC00000118,2022-09-18,2280.23,Expired
119,9344,SC00000119,2022-02-28,2121.67,Expired
120,6182,SC00000120,2022-08-18,1847.08,Expired
121,4937,SC00000121,2023-04-20,1902.99,Blocked
122,3533,SC00000122,2025-07-05,743.21,Blocked
123,8562,SC00000123,2023-12-07,1252.3,Active
124,6312,SC00000124,2024-02-24,2898.12,Active
125,7733,SC00000125,2024-12-02,954.88,Active
126,1510,SC00000126,2022-08-31,2707.74,Active
127,8355,SC00000127,2023-11-25,185.12,Active
128,209,SC00000128,2023-02-02,1632.27,Expired
129,7794,SC00000129,2025-12-13,1214.06,Expired
130,6210,SC00000130,2024-02-06,1812.46,Blocked
131,6041,SC00000131,2024-03-28,748.99,Expired
132,7951,SC00000132,2024-10-19,1082.67,Expired
133,7288,SC00000133,2025-04-12,1430.4,Blocked
134,8312,SC00000134,2024-02-12,663.74,Blocked
135,11,SC00000135,2025-05-10,1450.3,Active
136,5494,SC00000136,2024-06-29,878.6,Active
137,1548,SC00000137,2026-02-07,2495.25,Active
138,2522,SC00000138,2022-04-14,1002.57,Blocked
139,302,SC00000139,2025-02-07,97.54,Active
140,7200,SC00000140,2026-01-16,1380.83,Active
141,5584,SC00000141,2024-11-08,2681.62,Blocked
142,7212,SC00000142,2024-05-15,84.47,Blocked
143,5722,SC00000143,2024-01-09,858.51,Active
144,4974,SC00000144,2023-04-03,2449.33,Expired
145,3210,SC00000145,2024-08-09,1116.91,Blocked
146,9247,SC00000146,2023-12-14,1131.81,Expired
147,5113,SC00000147,2024-04-09,2612.81,Blocked
148,7428,SC00000148,2024-08-08,1594.29,Blocked
149,8055,SC00000149,2025-02-03,216.9,Blocked
150,9593,SC00000150,2023-07-10,195.25,Active
151,55,SC00000151,2023-04-27,1645.25,Active
152,5728,SC00000152,2026-02-02,2837.28,Active
153,4115,SC00000153,2025-08-10,678.11,Blocked
154,8074,SC00000154,2024-02-21,1305.04,Active
155,3137,SC00000155,2022-03-25,2656.41,Expired
156,1400,SC00000156,2024-06-22,360.38,Blocked
157,124,SC00000157,2022-10-28,2851.42,Expired
158,5949,SC00000158,2022-01-31,502.66,Active
159,3336,SC00000159,2025-06-12,203.59,Expired
160,8213,SC00000160,2022-06-16,2027.31,Active
161,8711,SC00000161,2023-09-12,162.09,Blocked
162,4759,SC00000162,2025-04-13,1499.37,Blocked
163,6404,SC00000163,2023-03-05,1189.64,Blocked
164,4188,SC00000164,2023-01-31,163.61,Expired
165,6260,SC00000165,2025-11-07,819.53,Active
166,9819,SC00000166,2022-10-11,706.99,Blocked
167,7481,SC00000167,2023-10-04,2477.8,Expired
168,978,SC00000168,2025-10-21,2454.18,Active
169,2165,SC00000169,2024-01-11,1583.82,Blocked
170,3182,SC00000170,2025-04-11,2535.3,Active
171,3999,SC00000171,2025-11-02,150.36,Active
172,1138,SC00000172,2023-02-18,548.28,Active
173,8289,SC00000173,2022-03-28,1890.01,Active
174,3436,SC00000174,2025-02-01,968.69,Expired
175,872,SC00000175,2024-10-14,938.29,Expired
176,9487,SC00000176,2023-03-12,1449.37,Blocked
177,5973,SC00000177,2023-11-17,1960.39,Blocked
178,6005,SC00000178,2023-10-05,2192.92,Blocked
179,2546,SC00000179,2025-02-06,818.51,Active
180,1898,SC00000180,2025-12-07,595.68,Blocked
181,2638,SC00000181,2025-03-12,626.9,Active
182,587,SC00000182,2024-02-11,2027.82,Blocked
183,8537,SC00000183,2023-08-21,246.19,Blocked
184,1640,SC00000184,2024-11-06,836.47,Blocked
185,6224,SC00000185,2023-08-09,950.14,Expired
186,3893,SC00000186,2022-02-07,1349.48,Blocked
187,6023,SC00000187,2025-11-30,367.74,Expired
188,9999,SC00000188,2022-05-28,1239.26,Expired
189,6588,SC00000189,2022-09-24,2003.11,Active
190,1382,SC00000190,2023-09-20,223.11,Active
191,7854,SC00000191,2022-09-26,1855.67,Expired
192,5337,SC00000192,2025-05-01,2616.63,Expired
193,9273,SC00000193,2022-01-07,1795.1,Active
194,6791,SC00000194,2023-07-04,1049.92,Expired
195,2655,SC00000195,2022-04-10,2052.75,Blocked
196,6152,SC00000196,2022-07-08,782.27,Active
197,737,SC00000197,2022-05-25,374.12,Active
198,2426,SC00000198,2022-03-29,2193.85,Active
199,1188,SC00000199,2025-08-14,2896.05,Blocked
200,5260,SC00000200,2024-06-08,2271.99,Blocked
201,2874,SC00000201,2024-10-28,2400.86,Blocked
202,383,SC00000202,2025-03-27,2302.09,Expired
203,7476,SC00000203,2024-07-03,136.93,Active
204,5541,SC00000204,2022-09-03,2585.99,Active
205,3985,SC00000205,2022-10-01,1578.48,Active
206,9403,SC00000206,2024-06-06,1937.48,Active
207,5811,SC00000207,2023-03-06,163.27,Expired
208,6120,SC00000208,2023-06-29,1965.55,Expired
209,6782,SC00000209,2025-03-20,662.57,Expired
210,7524,SC00000210,2025-05-02,2356.57,Expired
211,9597,SC00000211,2023-09-10,1418.02,Expired
212,128,SC00000212,2024-08-13,2262.91,Active
213,818,SC00000213,2022-01-26,2910.42,Blocked
214,7128,SC00000214,2023-07-28,2267.4,Blocked
215,5999,SC00000215,2025-12-31,152.46,Blocked
216,2219,SC00000216,2023-06-17,605.76,Blocked
217,5623,SC00000217,2023-04-12,1859.62,Active
218,2046,SC00000218,2024-05-16,1821.83,Blocked
219,9886,SC00000219,2023-02-16,1709.37,Blocked
220,6340,SC00000220,2024-08-06,355.59,Blocked
221,6490,SC00000221,2022-04-10,2711.44,Active
222,9171,SC00000222,2022-01-02,57.37,Blocked
223,1433,SC00000223,2024-03-31,1253.47,Blocked
224,4988,SC00000224,2025-07-06,2340.12,Active
225,6895,SC00000225,2024-07-22,2864.01,Blocked
226,8497,SC00000226,2022-08-04,1226.52,Blocked
227,7751,SC00000227,2022-06-08,2622.02,Active
228,2850,SC00000228,2024-07-08,672.86,Active
229,743,SC00000229,2022-10-28,1058.13,Active
230,6731,SC00000230,2022-08-25,774.05,Blocked
231,2064,SC00000231,2023-06-18,768.71,Blocked
232,7174,SC00000232,2024-09-30,2575.15,Blocked
233,7087,SC00000233,2025-09-21,2382.72,Expired
234,1800,SC00000234,2025-08-14,698.44,Expired
235,4919,SC00000235,2024-10-03,54.33,Expired
236,8517,SC00000236,2023-08-28,2567.45,Active
237,3884,SC00000237,2022-04-21,2199.36,Expired
238,4966,SC00000238,2024-07-05,2173.59,Blocked
239,7126,SC00000239,2023-07-25,1569.36,Active
240,9974,SC00000240,2024-01-05,364.1,Expired
241,5354,SC00000241,2023-11-28,627.03,Blocked
242,2790,SC00000242,2022-03-06,2356.37,Active
243,6178,SC00000243,2024-07-30,1566.44,Blocked
244,5958,SC00000244,2025-03-15,2342.11,Expired
245,5662,SC00000245,2026-01-12,809.53,Expired
246,5227,SC00000246,2025-12-21,640.27,Blocked
247,508,SC00000247,2023-11-02,2541.92,Active
248,2530,SC00000248,2023-12-17,1494.63,Expired
249,8905,SC00000249,2023-03-27,2988.3,Blocked
250,9257,SC00000250,2023-02-05,529.48,Expired
251,813,SC00000251,2026-01-28,2065.15,Blocked
252,8893,SC00000252,2025-07-25,2691.48,Blocked
253,9778,SC00000253,2023-01-31,911.28,Expired
254,65,SC00000254,2024-04-27,1455.01,Expired
255,37,SC00000255,2024-10-11,2188.22,Expired
256,2831,SC00000256,2024-10-27,2884.7,Blocked
257,542,SC00000257,2024-10-26,2597.35,Blocked
258,5337,SC00000258,2024-09-17,972.85,Active
259,5456,SC00000259,2024-07-28,1210.13,Expired
260,5093,SC00000260,2025-04-14,671.74,Active
261,7121,SC00000261,2023-09-18,2163.19,Active
262,4386,SC00000262,2023-10-06,835.83,Expired
263,7734,SC00000263,2025-11-25,2969.5,Expired
264,8947,SC00000264,2025-04-14,1480.92,Active
265,5369,SC00000265,2024-08-05,1387.39,Blocked
266,6595,SC00000266,2024-02-24,98.89,Active
267,9900,SC00000267,2025-06-16,196.81,Expired
268,8884,SC00000268,2024-03-12,2678.22,Expired
269,4432,SC00000269,2022-06-07,133.62,Blocked
270,3737,SC00000270,2024-05-26,2905.25,Blocked
271,8778,SC00000271,2025-09-01,1748.48,Active
272,5039,SC00000272,2026-01-27,1891.49,Blocked
273,9569,SC00000273,2025-08-01,849.1,Active
274,2901,SC00000274,2025-11-04,1236.08,Blocked
275,1375,SC00000275,2025-03-28,1985.86,Active
276,394,SC00000276,2024-01-17,718.07,Blocked
277,1814,SC00000277,2022-10-15,1681.31,Expired
278,1131,SC00000278,2025-02-15,1291.07,Expired
279,1566,SC00000279,2022-04-28,2525.14,Blocked
280,8185,SC00000280,2025-09-24,1982.83,Expired
281,9589,SC00000281,2025-08-02,1416.63,Expired
282,4968,SC00000282,2024-09-01,2659.19,Blocked
283,5630,SC00000283,2025-01-31,2524.16,Blocked
284,162,SC00000284,2025-01-14,1562.99,Active
285,5076,SC00000285,2025-07-29,2537.86,Active
286,3385,SC00000286,2025-01-29,1189.62,Expired
287,5242,SC00000287,2022-05-21,1746.12,Expired
288,3332,SC00000288,2023-08-22,1259.77,Blocked
289,6935,SC00000289,2024-07-18,2639.67,Blocked
290,9723,SC00000290,2023-08-05,1780.49,Expired
291,45,SC00000291,2022-12-13,835.26,Expired
292,3921,SC00000292,2023-12-20,871.59,Expired
293,6354,SC00000293,2023-05-10,1228.09,Expired
294,3021,SC00000294,2025-09-14,2944.77,Expired
295,4801,SC00000295,2024-05-17,2931.35,Blocked
296,4087,SC00000296,2022-07-09,1902.26,Blocked
297,4470,SC00000297,2025-09-08,1960.12,Expired
298,9606,SC00000298,2025-10-06,894.94,Expired
299,4741,SC00000299,2022-11-24,731.13,Blocked
300,3239,SC00000300,2023-02-23,2104.97,Blocked
301,4568,SC00000301,2025-02-01,1718.2,Expired
302,2003,SC00000302,2025-08-29,1844.19,Expired
303,39,SC00000303,2024-03-03,2502,Blocked
304,8944,SC00000304,2024-10-11,1141.78,Expired
305,2576,SC00000305,2023-11-10,67.39,Expired
306,2598,SC00000306,2022-04-16,1910.83,Expired
307,9292,SC00000307,2025-02-08,1635.55,Active
308,1002,SC00000308,2023-01-27,1262.78,Blocked
309,7388,SC00000309,2023-06-22,2897.97,Active
310,5821,SC00000310,2023-08-08,1465.65,Blocked
311,1891,SC00000311,2024-02-24,262.73,Blocked
312,2309,SC00000312,2025-01-22,358.94,Active
313,8541,SC00000313,2022-08-09,1252.68,Active
314,1056,SC00000314,2025-07-22,2290.78,Active
315,5836,SC00000315,2023-06-02,1679.33,Blocked
316,3550,SC00000316,2025-04-21,2388.49,Active
317,5653,SC00000317,2023-10-30,507.83,Active
318,9068,SC00000318,2024-10-10,546.66,Active
319,6270,SC00000319,2025-11-26,1713.66,Active
320,4282,SC00000320,2024-09-15,1935.47,Active
321,4977,SC00000321,2023-07-06,2167.83,Active
322,2581,SC00000322,2024-06-23,90.45,Active
323,2404,SC00000323,2025-01-06,497.19,Blocked
324,8924,SC00000324,2025-11-02,2844.39,Active
325,8883,SC00000325,2024-07-06,289.94,Active
326,4144,SC00000326,2023-06-18,1891.69,Active
327,9897,SC00000327,2024-03-10,890.13,Expired
328,3529,SC00000328,2023-12-10,2268.5,Blocked
329,9070,SC00000329,2023-10-22,2730.01,Active
330,8006,SC00000330,2025-04-30,2091.96,Blocked
331,8759,SC00000331,2024-11-13,2891.58,Expired
332,9586,SC00000332,2024-10-28,374.75,Expired
333,9749,SC00000333,2023-06-16,2729.5,Blocked
334,6211,SC00000334,2025-05-28,710.32,Active
335,1862,SC00000335,2024-04-22,2126.99,Expired
336,1642,SC00000336,2025-07-08,1399.82,Active
337,7958,SC00000337,2023-05-22,2442.4,Active
338,7957,SC00000338,2022-11-11,141.51,Expired
339,7195,SC00000339,2022-10-02,2995.66,Expired
340,2922,SC00000340,2024-09-23,1151.29,Expired
341,2074,SC00000341,2025-02-11,2070.78,Expired
342,8857,SC00000342,2023-08-16,2778.49,Blocked
343,3992,SC00000343,2022-11-12,1604.81,Active
344,9218,SC00000344,2025-12-03,2303.97,Expired
345,8911,SC00000345,2025-02-10,1944.57,Active
346,3481,SC00000346,2024-03-08,525.58,Blocked
347,645,SC00000347,2023-06-19,1484.92,Active
348,4762,SC00000348,2024-03-09,2688.36,Blocked
349,495,SC00000349,2024-07-07,2481.78,Blocked
350,3130,SC00000350,2025-09-21,1854.38,Active
351,8013,SC00000351,2022-03-27,1493.68,Active
352,5727,SC00000352,2022-06-29,2996.21,Blocked
353,5985,SC00000353,2024-11-22,1943.17,Expired
354,7807,SC00000354,2024-09-21,1000.87,Blocked
355,5409,SC00000355,2022-01-23,1093.63,Active
356,9886,SC00000356,2022-05-09,945.76,Blocked
357,5964,SC00000357,2022-08-18,1192.27,Active
358,1038,SC00000358,2025-12-14,1812.87,Active
359,260,SC00000359,2024-10-17,842.86,Expired
360,5229,SC00000360,2024-01-31,78.15,Blocked
361,6707,SC00000361,2025-02-03,346.53,Blocked
362,2647,SC00000362,2024-02-17,661.78,Blocked
363,1021,SC00000363,2024-06-02,1586.08,Expired
364,8489,SC00000364,2023-05-18,514.77,Active
365,5441,SC00000365,2023-05-31,1090.62,Blocked
366,1443,SC00000366,2024-09-01,127.61,Blocked
367,4141,SC00000367,2024-08-30,2373.15,Expired
368,8794,SC00000368,2022-08-10,1912.14,Active
369,669,SC00000369,2025-12-13,2848.01,Expired
370,2380,SC00000370,2023-04-19,1012.99,Expired
371,7675,SC00000371,2023-09-29,2306.4,Blocked
372,8478,SC00000372,2025-10-24,1246.57,Active
373,5853,SC00000373,2022-05-31,805.8,Expired
374,9838,SC00000374,2023-01-17,665.32,Blocked
375,2963,SC00000375,2022-04-24,108.87,Blocked
376,7619,SC00000376,2025-10-16,1260.52,Expired
377,1110,SC00000377,2022-10-17,2610.46,Active
378,4091,SC00000378,2025-12-15,203.83,Active
379,1966,SC00000379,2025-09-23,1570.25,Expired
380,9588,SC00000380,2024-01-14,2672.04,Expired
381,890,SC00000381,2022-03-15,2841.2,Blocked
382,4130,SC00000382,2024-12-29,1293.1,Expired
383,1900,SC00000383,2022-11-30,2154.95,Blocked
384,3157,SC00000384,2025-07-09,2961.39,Blocked
385,4083,SC00000385,2022-12-10,977.8,Active
386,8099,SC00000386,2024-04-09,2908.55,Blocked
387,8427,SC00000387,2024-04-03,2623.69,Blocked
388,6253,SC00000388,2025-10-25,505.76,Blocked
389,2210,SC00000389,2022-08-29,903.6,Active
390,8475,SC00000390,2024-03-07,687.75,Active
391,1589,SC00000391,2022-08-08,2986.23,Expired
392,7149,SC00000392,2026-01-25,2796.9,Expired
393,2710,SC00000393,2022-10-11,2323.84,Expired
394,2311,SC00000394,2025-12-24,593.18,Active
395,496,SC00000395,2026-01-23,2899.21,Expired
396,4962,SC00000396,2025-12-09,1997.98,Expired
397,3305,SC00000397,2025-05-30,2230.2,Expired
398,5109,SC00000398,2024-04-20,1508.71,Expired
399,3549,SC00000399,2023-01-02,379.42,Blocked
400,3209,SC00000400,2024-11-21,702.53,Expired
401,1937,SC00000401,2025-06-07,986.74,Blocked
402,6553,SC00000402,2022-05-25,2671.45,Expired
403,9679,SC00000403,2025-01-16,2690.88,Active
404,8627,SC00000404,2025-10-09,2215.1,Expired
405,5658,SC00000405,2025-08-02,1092.85,Expired
406,6463,SC00000406,2025-03-29,895.61,Active
407,1457,SC00000407,2024-02-25,468.57,Blocked
408,9417,SC00000408,2024-07-15,1283.82,Active
409,1584,SC00000409,2023-01-22,1219.2,Active
410,4460,SC00000410,2023-10-01,2847.42,Active
411,3369,SC00000411,2023-07-20,1142.57,Blocked
412,3839,SC00000412,2025-09-28,1281.69,Expired
413,9905,SC00000413,2024-03-15,2056.02,Expired
414,972,SC00000414,2025-10-08,2239.91,Active
415,2518,SC00000415,2023-11-11,1824.9,Expired
416,1104,SC00000416,2025-11-02,1845.04,Expired
417,3610,SC00000417,2022-04-27,541.35,Active
418,8207,SC00000418,2022-07-19,1399.48,Expired
419,584,SC00000419,2023-11-11,859.82,Active
420,3219,SC00000420,2023-07-31,2882.77,Blocked
421,7179,SC00000421,2024-06-27,763.33,Active
422,6090,SC00000422,2025-08-08,2429.33,Active
423,7547,SC00000423,2023-02-09,2261.05,Active
424,4380,SC00000424,2022-07-14,2132.57,Active
425,8562,SC00000425,2024-08-13,2938.14,Blocked
426,6178,SC00000426,2023-02-19,2951.94,Blocked
427,3041,SC00000427,2022-05-20,874.01,Active
428,7393,SC00000428,2024-08-07,1992.85,Active
429,8488,SC00000429,2025-08-04,56.42,Expired
430,1,SC00000430,2026-02-07,1568.22,Active
431,5110,SC00000431,2025-12-21,1489.52,Expired
432,8803,SC00000432,2024-07-12,2753.52,Blocked
433,1604,SC00000433,2024-04-26,1075.6,Active
434,9244,SC00000434,2024-12-01,2712.69,Expired
435,5245,SC00000435,2024-05-16,2062.83,Active
436,1441,SC00000436,2024-10-10,2028.2,Blocked
437,1217,SC00000437,2023-06-15,765.49,Expired
438,4294,SC00000438,2024-11-26,2758.3,Blocked
439,4245,SC00000439,2025-05-24,571.21,Active
440,4582,SC00000440,2022-05-22,2849.21,Active
441,4088,SC00000441,2025-05-15,2429.65,Blocked
442,6839,SC00000442,2025-05-25,2900.3,Expired
443,214,SC00000443,2025-09-06,2154.89,Expired
444,5270,SC00000444,2022-02-06,1851.59,Blocked
445,224,SC00000445,2023-05-13,132.13,Blocked
446,6547,SC00000446,2025-11-26,2905.03,Blocked
447,1661,SC00000447,2024-10-21,2664.94,Expired
448,4234,SC00000448,2022-03-02,1172.19,Blocked
449,8056,SC00000449,2023-11-02,1450.51,Active
450,876,SC00000450,2025-07-27,952.52,Expired
451,2922,SC00000451,2023-03-27,742.46,Active
452,1361,SC00000452,2025-11-14,99.11,Expired
453,7217,SC00000453,2023-01-23,2677.76,Active
454,7520,SC00000454,2024-11-19,1224.66,Active
455,186,SC00000455,2024-10-03,1716.94,Blocked
456,7690,SC00000456,2023-10-08,845.51,Blocked
457,1890,SC00000457,2022-01-12,412.94,Blocked
458,7318,SC00000458,2023-05-09,2129.73,Expired
459,8629,SC00000459,2022-09-19,1785.97,Blocked
460,9679,SC00000460,2025-08-29,842.34,Active
461,9077,SC00000461,2022-10-05,2992.8,Blocked
462,5063,SC00000462,2024-06-27,1093.3,Expired
463,4537,SC00000463,2025-01-29,2474.61,Active
464,3512,SC00000464,2023-08-07,1173.06,Active
465,2652,SC00000465,2023-09-01,1095.1,Expired
466,9714,SC00000466,2024-10-30,1454.61,Expired
467,8642,SC00000467,2024-12-28,1234.92,Active
468,9630,SC00000468,2025-07-24,864.96,Expired
469,7221,SC00000469,2024-10-17,527.26,Expired
470,8731,SC00000470,2025-05-05,500.9,Blocked
471,1970,SC00000471,2022-06-07,1150.59,Expired
472,1577,SC00000472,2023-05-13,1343.04,Blocked
473,1566,SC00000473,2022-02-22,97.63,Active
474,5970,SC00000474,2026-01-29,2762.75,Active
475,1766,SC00000475,2024-12-09,1662.72,Active
476,353,SC00000476,2025-06-08,632.16,Blocked
477,2055,SC00000477,2023-05-20,2362.53,Active
478,5230,SC00000478,2024-09-10,2750.49,Expired
479,5943,SC00000479,2022-07-25,589.74,Active
480,3127,SC00000480,2023-01-27,2446.66,Active
481,9678,SC00000481,2024-11-25,570.1,Blocked
482,7117,SC00000482,2025-09-24,1632.91,Blocked
483,5617,SC00000483,2022-02-21,2730.86,Active
484,6033,SC00000484,2023-04-28,739.35,Expired
485,3718,SC00000485,2022-09-25,2718.05,Expired
486,4823,SC00000486,2022-03-01,475.21,Expired
487,6739,SC00000487,2023-07-08,1917.87,Blocked
488,1488,SC00000488,2022-01-31,486.88,Blocked
489,8559,SC00000489,2022-09-11,368.77,Expired
490,2578,SC00000490,2023-11-01,2093.82,Active
491,1053,SC00000491,2022-11-09,1453.11,Expired
492,8873,SC00000492,2022-04-25,2158.04,Expired
493,504,SC00000493,2024-04-05,1268,Expired
494,3005,SC00000494,2023-01-02,2330.82,Blocked
495,1913,SC00000495,2024-02-19,653.09,Expired
496,3540,SC00000496,2024-01-10,1189.98,Blocked
497,8422,SC00000497,2024-10-15,281.49,Active
498,8818,SC00000498,2026-02-03,2692.66,Expired
499,9520,SC00000499,2022-12-07,1365.48,Blocked
500,7146,SC00000500,2022-10-15,2580.82,Active
501,5237,SC00000501,2026-01-13,2947.56,Blocked
502,2619,SC00000502,2022-02-27,2812.57,Blocked
503,4291,SC00000503,2024-07-22,2794.14,Blocked
504,1890,SC00000504,2023-09-24,383.25,Active
505,3978,SC00000505,2025-11-23,1263.81,Blocked
506,5943,SC00000506,2022-01-06,2031.93,Blocked
507,9358,SC00000507,2023-04-24,2555.04,Blocked
508,2473,SC00000508,2024-10-30,1326.48,Active
509,4069,SC00000509,2025-04-23,2448.3,Active
510,6160,SC00000510,2025-11-16,659.74,Blocked
511,9258,SC00000511,2025-05-18,2823.63,Expired
512,839,SC00000512,2022-01-06,2894.96,Active
513,5907,SC00000513,2023-01-22,441.35,Active
514,2181,SC00000514,2023-12-27,382.32,Blocked
515,1464,SC00000515,2024-07-28,429.42,Active
516,4246,SC00000516,2022-04-15,2346.69,Expired
517,3159,SC00000517,2025-01-13,1896.07,Blocked
518,1258,SC00000518,2025-08-19,1313.52,Expired
519,6079,SC00000519,2023-01-30,931.42,Blocked
520,2916,SC00000520,2025-09-27,1197.35,Active
521,2712,SC00000521,2022-03-28,2176.74,Active
522,3632,SC00000522,2022-11-19,470.36,Active
523,7612,SC00000523,2026-01-13,128.81,Active
524,7545,SC00000524,2024-08-19,2908.04,Expired
525,1073,SC00000525,2023-05-16,2977.98,Blocked
