Ticket Id,Passenger Id,Source Station Id,Destination Station Id,Journey Date,Fare,Ticket Type
56,1631,89,202,2024-04-26,14.64,Single Journey
57,8037,7,133,2023-10-21,82.67,Single Journey
58,6917,34,228,2023-10-06,92.88,Single Journey
59,1422,182,250,2025-04-05,32.62,Return Journey
60,1814,132,114,2025-09-19,192.51,Return Journey
61,3021,46,158,2025-01-11,85.85,Return Journey
62,9188,81,25,2023-08-23,11.29,Daily Pass
63,2523,177,78,2023-01-25,191.82,Daily Pass
64,3393,191,225,2023-08-09,94.25,Single Journey
65,666,119,120,2023-05-09,95.74,Return Journey
66,442,59,102,2025-02-24,145.78,Daily Pass
67,7340,248,224,2025-06-12,151.88,Single Journey
68,6823,55,81,2024-11-01,81.07,Daily Pass
69,1792,25,82,2025-01-31,121.65,Return Journey
70,1728,130,207,2024-07-19,148.25,Return Journey
71,497,211,135,2024-02-12,126.57,Return Journey
72,4503,212,147,2023-08-31,113.27,Daily Pass
73,6347,46,46,2025-02-25,160.3,Daily Pass
74,4798,42,92,2025-08-20,194.12,Return Journey
75,4680,210,193,2024-12-02,98.53,Daily Pass
76,1169,222,77,2023-07-19,52.75,Single Journey
77,1955,174,29,2025-08-18,125.92,Daily Pass
78,415,212,219,2023-03-21,63.61,Daily Pass
79,8339,182,79,2025-08-12,97.26,Single Journey
80,1276,179,24,2025-09-14,21.33,Single Journey
81,9952,220,98,2025-05-21,76.08,Return Journey
82,4341,208,64,2025-06-29,16.96,Return Journey
83,3091,107,184,2024-09-08,181.5,Daily Pass
84,5640,108,47,2023-07-09,174.15,Return Journey
85,7593,237,129,2023-05-21,135.56,Single Journey
86,1300,138,81,2023-11-11,168.83,Daily Pass
87,5842,162,232,2024-05-24,77.55,Return Journey
88,966,146,225,2023-12-03,166.98,Daily Pass
89,9725,26,132,2024-07-23,89.67,Return Journey
90,767,223,186,2023-07-13,65.26,Return Journey
91,7554,5,88,2023-09-07,51.26,Daily Pass
92,8459,44,223,2025-08-28,151.55,Return Journey
93,6022,218,200,2023-06-16,151.33,Single Journey
94,2559,228,6,2024-01-01,18.06,Single Journey
95,2027,99,39,2023-07-13,175.99,Single Journey
96,9480,50,103,2023-04-24,84.82,Single Journey
97,531,171,100,2024-07-25,107.05,Daily Pass
98,4282,219,72,2023-08-23,88.66,Single Journey
99,3636,53,95,2024-02-24,33.74,Daily Pass
100,7953,3,151,2024-10-26,127.92,Return Journey
101,9675,203,34,2024-04-14,71.37,Daily Pass
102,7174,154,62,2023-05-31,161.71,Single Journey
103,100,183,91,2023-01-31,51.42,Single Journey
104,2020,78,129,2024-05-16,97.87,Daily Pass
105,7398,173,179,2024-02-24,188.23,Daily Pass
106,6230,238,100,2025-09-21,126.34,Single Journey
107,3899,31,166,2023-12-31,23.37,Return Journey
108,4271,46,4,2025-08-14,138.4,Single Journey
109,9174,118,120,2023-11-06,50.35,Daily Pass
110,60,70,112,2025-05-28,116.78,Return Journey
111,1433,154,223,2024-09-23,51.87,Single Journey
112,181,152,250,2025-07-30,162.89,Return Journey
113,5415,91,73,2023-12-30,83.39,Single Journey
114,3379,194,96,2023-02-07,131.75,Single Journey
115,9617,9,34,2023-11-27,193.49,Daily Pass
116,4324,103,248,2023-12-28,104.93,Return Journey
117,8634,201,173,2024-12-21,29.61,Return Journey
118,4431,27,180,2024-03-26,93.17,Single Journey
119,8390,205,236,2024-04-14,16.26,Return Journey
120,508,111,114,2023-12-01,76.58,Single Journey
121,8375,83,9,2024-02-02,162.14,Single Journey
122,1631,206,173,2024-02-05,73.41,Daily Pass
123,8289,97,119,2025-01-31,120.51,Return Journey
124,5431,69,168,2023-05-23,70.49,Single Journey
125,9916,147,218,2023-12-14,74.6,Single Journey
126,1643,11,58,2024-01-14,98.81,Return Journey
127,5458,80,174,2024-05-05,42.18,Single Journey
128,1011,249,78,2024-05-19,184.13,Daily Pass
129,8858,128,81,2025-04-20,48.03,Daily Pass
130,9894,172,71,2024-07-03,120.74,Single Journey
131,1434,14,140,2023-12-03,23.03,Single Journey
132,2273,67,150,2024-12-18,68.54,Single Journey
133,3167,45,166,2023-10-29,173.24,Daily Pass
134,3677,40,217,2023-09-26,78.19,Return Journey
135,4848,88,94,2023-04-14,84.77,Return Journey
136,8210,80,59,2023-11-22,155.42,Single Journey
137,6644,145,222,2025-07-16,79.19,Daily Pass
138,9248,107,30,2023-03-18,98.43,Return Journey
139,3906,172,241,2023-04-16,25.52,Single Journey
140,6841,197,2,2023-05-08,124.14,Return Journey
141,2870,247,59,2023-01-02,134.85,Daily Pass
142,3710,95,199,2023-08-26,120.64,Single Journey
143,8828,219,171,2024-12-10,115.92,Return Journey
144,6257,123,70,2024-05-01,92.22,Single Journey
145,1012,53,75,2023-12-14,25.74,Return Journey
146,293,156,104,2025-09-05,135.96,Daily Pass
147,1515,234,141,2024-06-17,34.58,Single Journey
148,663,68,209,2024-09-05,29.58,Single Journey
149,8822,27,105,2023-11-19,199.85,Daily Pass
150,3661,138,181,2023-09-14,123.53,Single Journey
151,6862,185,87,2024-02-14,18.73,Return Journey
152,6261,157,155,2025-03-16,90.17,Return Journey
153,1500,3,83,2024-01-20,68.19,Return Journey
154,1245,18,249,2024-09-30,140.26,Single Journey
155,7665,94,84,2024-08-04,96.75,Daily Pass
156,9344,245,199,2023-12-31,89.67,Single Journey
157,3932,22,133,2025-01-20,42.8,Daily Pass
158,7925,159,117,2024-03-20,120.46,Return Journey
159,3810,166,4,2023-04-26,157.8,Daily Pass
160,2070,53,224,2025-06-22,84.01,Daily Pass
161,8183,48,71,2023-12-04,104.1,Single Journey
162,9801,38,90,2025-03-20,191.25,Single Journey
163,2658,239,148,2023-09-13,87.56,Single Journey
164,2212,211,209,2024-01-14,113.38,Daily Pass
165,4017,161,182,2024-07-10,150.51,Return Journey
166,638,215,47,2024-11-24,178.56,Return Journey
167,205,144,24,2023-06-01,52.93,Single Journey
168,2759,226,172,2025-04-11,107.18,Single Journey
169,473,214,188,2024-11-29,23.3,Return Journey
170,2741,248,28,2024-07-21,87.57,Single Journey
171,597,70,116,2023-08-24,149.06,Return Journey
172,577,96,169,2023-12-27,20.3,Daily Pass
173,658,228,177,2023-09-28,122.05,Daily Pass
174,8404,222,111,2025-05-10,171.71,Daily Pass
175,4806,101,114,2023-10-24,98.57,Return Journey
176,3556,232,129,2024-03-16,119.31,Single Journey
177,5475,153,112,2025-09-26,105.63,Daily Pass
178,9019,76,63,2023-11-22,94.7,Single Journey
179,5280,43,136,2023-05-15,46.02,Daily Pass
180,1312,67,27,2024-01-15,91.67,Return Journey
181,4696,13,45,2023-01-11,195.41,Daily Pass
182,7836,59,154,2023-02-21,108.75,Daily Pass
183,718,40,63,2025-02-19,135.36,Return Journey
184,8993,152,99,2024-01-10,146.32,Daily Pass
185,3574,72,233,2024-10-30,181.76,Return Journey
186,3721,35,117,2023-09-18,64.11,Daily Pass
187,1250,220,14,2023-07-15,51.28,Single Journey
188,7768,195,156,2024-12-24,60.27,Single Journey
189,7717,208,186,2024-08-21,132.49,Single Journey
190,2090,73,237,2025-03-27,41.95,Daily Pass
191,7135,191,125,2025-05-04,42.84,Daily Pass
192,5027,182,184,2025-06-17,31.9,Return Journey
193,464,151,87,2024-04-30,129.31,Daily Pass
194,3746,104,164,2025-09-10,35.82,Return Journey
195,5852,160,149,2025-06-21,71.11,Single Journey
196,7400,34,169,2024-04-23,107.1,Daily Pass
197,6947,192,25,2024-11-26,68.38,Single Journey
198,8346,77,217,2023-02-24,153.94,Single Journey
199,3388,197,200,2023-10-21,109.76,Return Journey
200,7956,165,133,2024-03-25,30.13,Single Journey
201,9832,72,136,2024-04-06,30.72,Return Journey
202,7661,33,238,2023-02-17,49.6,Return Journey
203,9725,166,174,2025-06-15,49.84,Single Journey
204,7441,73,158,2024-01-21,41.42,Single Journey
205,2431,42,44,2024-06-28,181.26,Single Journey
206,2289,247,136,2024-07-11,45.52,Daily Pass
207,6456,140,222,2024-03-09,36.03,Single Journey
208,77,68,32,2023-10-06,35.53,Daily Pass
209,7026,76,18,2024-02-10,128.12,Return Journey
210,6454,149,183,2024-12-25,100.39,Daily Pass
211,6226,3,206,2023-09-06,124.9,Daily Pass
212,3516,240,131,2025-01-14,27.13,Daily Pass
213,974,178,4,2023-01-08,173.78,Return Journey
214,6752,179,27,2025-03-21,154.46,Return Journey
215,4186,133,12,2024-08-13,22.43,Return Journey
216,9054,74,195,2023-08-07,11.26,Single Journey
217,7470,246,92,2023-09-25,85.36,Single Journey
218,7497,179,144,2023-05-07,30.69,Daily Pass
219,9876,226,158,2025-07-06,108.52,Single Journey
220,2417,173,113,2024-01-23,37.46,Return Journey
221,8895,199,101,2024-05-24,91.26,Daily Pass
222,3367,133,47,2023-03-26,102.01,Return Journey
223,4295,111,4,2025-03-23,70.85,Daily Pass
224,3133,161,14,2023-07-27,138.84,Daily Pass
225,8929,39,156,2025-04-22,69.07,Single Journey
226,7899,42,119,2024-03-14,185.7,Daily Pass
227,7677,140,16,2024-01-08,43.35,Daily Pass
228,4036,114,87,2023-09-18,46.98,Daily Pass
229,3874,2,123,2024-10-12,158.51,Daily Pass
230,5986,136,113,2025-06-03,162.84,Daily Pass
231,8952,144,202,2023-03-05,137.49,Single Journey
232,9904,30,229,2024-03-18,189.23,Daily Pass
233,8050,180,181,2023-10-28,172.49,Return Journey
234,7939,108,71,2024-10-15,19.29,Return Journey
235,9107,19,231,2023-08-24,16.87,Daily Pass
236,4872,97,186,2025-07-14,192.15,Daily Pass
237,2608,74,132,2023-12-23,92.24,Return Journey
238,6859,106,112,2025-05-31,63.8,Return Journey
239,8466,217,90,2025-02-26,19.88,Return Journey
240,7399,60,36,2024-05-12,116.3,Single Journey
241,2652,182,240,2024-11-03,104.51,Single Journey
242,1648,118,151,2023-06-05,146.07,Single Journey
243,8459,102,107,2023-05-21,126.93,Return Journey
244,9656,67,101,2023-11-23,94.93,Return Journey
245,7394,89,137,2024-01-11,176.26,Single Journey
246,6379,196,13,2025-08-17,92.54,Daily Pass
247,9771,178,155,2023-10-15,187.75,Daily Pass
248,155,113,102,2023-10-06,139.06,Return Journey
249,3009,51,137,2025-03-21,95.75,Return Journey
250,1370,162,231,2023-11-22,55.18,Daily Pass
251,3693,138,206,2024-04-04,131.88,Single Journey
252,8976,118,77,2023-05-06,183.83,Daily Pass
253,5514,12,204,2024-02-11,193.16,Daily Pass
254,8936,122,184,2025-04-26,143.29,Return Journey
255,1037,127,19,2024-07-06,156.18,Return Journey
256,2277,122,34,2025-08-28,115.76,Return Journey
257,275,238,109,2025-03-24,26.27,Daily Pass
258,804,124,109,2023-03-16,130.93,Return Journey
259,7132,27,29,2025-01-14,188.84,Return Journey
260,9312,98,44,2024-09-25,63.5,Daily Pass
261,4824,100,215,2023-06-03,151.89,Single Journey
262,9161,171,213,2023-08-01,142.7,Single Journey
263,9088,72,61,2024-03-07,198.1,Single Journey
264,5196,160,180,2023-10-20,161.15,Return Journey
265,3211,129,143,2025-04-14,41.95,Daily Pass
266,1554,37,226,2023-09-02,147.25,Return Journey
267,2555,123,212,2023-09-24,87.05,Return Journey
268,9136,217,7,2024-07-29,132.23,Daily Pass
269,5671,245,29,2023-09-19,91.68,Return Journey
270,7550,65,221,2023-07-31,69.99,Return Journey
271,4949,235,121,2024-06-12,45.13,Single Journey
272,664,118,155,2023-04-30,184.46,Return Journey
273,4621,149,129,2024-07-20,29.36,Daily Pass
274,1870,47,214,2023-09-16,15.82,Daily Pass
275,8583,245,153,2025-05-10,170.37,Single Journey
276,5656,92,235,2025-07-27,187.79,Single Journey
277,3481,183,144,2025-06-09,70.09,Single Journey
278,9716,98,110,2023-02-02,47.21,Single Journey
279,4284,160,196,2024-10-11,114.86,Return Journey
280,8088,115,46,2023-12-06,91.58,Single Journey
281,172,93,201,2024-08-04,189.4,Single Journey
282,2073,86,27,2024-02-12,111.49,Daily Pass
283,6005,145,120,2023-05-13,111.06,Daily Pass
284,3119,230,135,2023-04-30,122.67,Return Journey
285,6580,198,65,2024-05-12,159.72,Single Journey
286,7524,23,107,2025-08-16,154.71,Single Journey
287,2712,59,156,2025-01-22,30.43,Single Journey
288,7848,151,134,2023-07-05,12.96,Daily Pass
289,5777,47,160,2025-07-10,33.38,Daily Pass
290,9209,56,70,2023-07-12,69.81,Return Journey
291,5975,162,158,2024-08-12,82,Daily Pass
292,9951,151,66,2025-03-30,10.57,Single Journey
293,2686,42,122,2025-09-01,88.16,Single Journey
294,6269,219,162,2024-04-12,47.95,Daily Pass
295,1075,156,192,2023-01-28,30.08,Return Journey
296,9995,153,233,2023-05-31,68.14,Single Journey
297,2153,26,127,2023-12-25,106.16,Return Journey
298,5017,108,69,2023-04-12,92.45,Single Journey
299,7791,124,79,2023-04-20,109.11,Return Journey
300,5339,218,233,2025-05-04,176.51,Single Journey
301,3479,249,40,2023-01-13,75.37,Single Journey
302,6417,73,57,2023-04-09,94.79,Daily Pass
303,5045,208,3,2023-07-08,133.4,Return Journey
304,9840,106,214,2023-06-28,130.82,Return Journey
305,3694,216,241,2025-05-02,136.09,Return Journey
306,349,12,40,2023-08-16,90.83,Return Journey
307,1569,74,119,2024-05-17,77.95,Daily Pass
308,1299,168,250,2023-06-30,170.31,Daily Pass
309,6853,89,38,2025-05-20,21.79,Return Journey
310,750,231,243,2024-04-30,188.7,Single Journey
311,9829,109,248,2025-07-21,30.64,Return Journey
312,10,201,32,2023-04-18,54.82,Return Journey
313,2401,116,154,2024-05-19,84.35,Daily Pass
314,6746,189,154,2024-09-24,120.44,Return Journey
315,1789,125,238,2023-09-26,175.84,Return Journey
316,8105,134,75,2024-01-21,144.46,Single Journey
317,4228,105,140,2025-03-18,64.33,Return Journey
318,4910,20,11,2025-06-08,177.45,Single Journey
319,6985,35,98,2023-04-29,125.46,Return Journey
320,9054,24,209,2025-05-25,93.46,Return Journey
321,1697,198,206,2023-07-03,51.64,Single Journey
322,6217,25,57,2024-08-27,32.16,Return Journey
323,9161,65,11,2023-12-26,114,Daily Pass
324,6958,172,156,2025-05-24,152.91,Daily Pass
325,130,98,223,2025-07-22,160.54,Single Journey
326,2255,89,233,2025-06-02,86.62,Daily Pass
327,8965,24,67,2024-08-29,82.23,Single Journey
328,6588,44,246,2023-02-08,13.71,Single Journey
329,3122,232,153,2023-03-28,122.87,Return Journey
330,9502,58,162,2025-04-18,94.71,Single Journey
331,8110,146,84,2024-10-20,14.05,Return Journey
332,5874,115,119,2025-02-01,113.25,Single Journey
333,2852,184,186,2024-12-09,118.33,Return Journey
334,9436,141,66,2024-08-13,59.62,Daily Pass
335,3197,58,144,2023-10-14,151.81,Daily Pass
336,2990,132,120,2025-09-27,154.84,Return Journey
337,9911,104,191,2025-03-21,14.73,Daily Pass
338,8519,53,90,2023-07-07,115.82,Return Journey
339,726,161,106,2025-09-27,56.89,Single Journey
340,4038,170,21,2024-09-11,179.18,Daily Pass
341,9671,76,182,2023-04-06,53.25,Single Journey
342,3555,66,183,2024-03-20,47.75,Single Journey
343,7982,76,47,2023-12-09,126.83,Single Journey
344,8792,216,98,2025-04-23,91.6,Return Journey
345,1900,215,222,2023-01-04,112.45,Daily Pass
346,7496,188,224,2024-12-03,35.54,Return Journey
347,3605,211,44,2024-02-03,14.03,Daily Pass
348,1238,222,166,2025-08-28,92.89,Single Journey
349,1374,243,19,2023-07-28,41.43,Return Journey
350,5413,176,33,2025-09-07,31.33,Return Journey
351,3839,202,32,2024-07-06,39.25,Return Journey
352,2025,171,224,2024-11-22,97.93,Return Journey
353,1041,127,10,2023-07-14,180.63,Single Journey
354,3498,208,18,2023-08-26,129.23,Single Journey
355,7157,153,195,2025-08-10,90.09,Return Journey
356,2454,140,144,2024-07-11,110.81,Return Journey
357,373,103,248,2025-09-15,17.07,Single Journey
358,213,21,90,2025-03-10,105.4,Return Journey
359,3810,123,130,2023-04-09,149.82,Daily Pass
360,1381,230,216,2024-12-15,72.44,Single Journey
361,3517,10,169,2025-03-23,83.31,Single Journey
362,8893,199,179,2023-08-02,124.02,Return Journey
363,5627,6,152,2023-07-12,105.79,Daily Pass
364,131,183,88,2024-09-10,92.67,Daily Pass
365,9218,163,223,2023-10-22,110.21,Single Journey
366,8319,76,76,2023-02-14,66.75,Single Journey
367,3386,212,176,2024-06-18,53.17,Single Journey
368,1834,196,66,2023-06-17,34.23,Single Journey
369,9216,40,225,2023-11-03,99.45,Daily Pass
370,2863,109,11,2025-01-29,100.07,Return Journey
371,8530,168,39,2023-07-20,141.78,Return Journey
372,7053,237,133,2024-04-12,109.22,Single Journey
373,3444,170,208,2023-08-13,15.13,Return Journey
374,5199,122,98,2024-06-29,32.58,Daily Pass
375,7924,105,83,2025-06-04,183.4,Daily Pass
376,1815,87,18,2025-04-11,24.76,Single Journey
377,5031,197,174,2023-05-10,41.04,Daily Pass
378,7565,133,246,2024-09-10,114.02,Single Journey
379,800,216,74,2025-08-03,10.65,Daily Pass
380,6336,111,81,2025-09-18,108.67,Single Journey
381,7525,247,78,2025-06-16,162.27,Single Journey
382,8237,239,204,2024-10-12,103.42,Daily Pass
383,1220,144,237,2024-09-24,97.74,Return Journey
384,4293,2,227,2023-01-07,186.8,Return Journey
385,6789,158,163,2024-06-11,128.71,Return Journey
386,2445,146,16,2024-05-20,182.68,Return Journey
387,9757,150,64,2025-09-09,146.88,Return Journey
388,4063,55,36,2023-08-27,137.55,Daily Pass
389,7880,72,42,2023-07-24,50.65,Daily Pass
390,1803,68,53,2025-05-26,155.49,Return Journey
391,3202,48,129,2023-08-13,94.38,Return Journey
392,4162,111,75,2024-11-16,90.58,Single Journey
393,8377,213,159,2025-04-01,62.98,Daily Pass
394,5993,143,186,2024-12-16,150.25,Return Journey
395,9022,145,115,2024-12-15,37.75,Return Journey
396,2116,48,213,2025-02-17,22.86,Daily Pass
397,5739,246,102,2023-06-06,161.02,Daily Pass
398,868,132,227,2023-12-14,193.52,Daily Pass
399,306,81,133,2025-01-02,179.89,Daily Pass
400,4189,69,106,2024-06-03,126.55,Daily Pass
401,3095,159,110,2025-05-20,80.33,Single Journey
402,3608,144,151,2023-12-13,42.35,Daily Pass
403,6774,181,36,2024-10-20,166.25,Daily Pass
404,3657,225,55,2023-07-09,163.36,Single Journey
405,2812,172,244,2024-09-06,54.14,Return Journey
406,4278,182,34,2025-04-01,72.82,Daily Pass
407,9070,20,98,2024-03-06,26.45,Daily Pass
408,5855,134,186,2024-01-03,35.02,Single Journey
409,5681,98,166,2025-07-06,176.75,Daily Pass
410,3336,23,102,2024-10-03,81.31,Single Journey
411,3586,234,42,2024-04-30,112.42,Return Journey
412,7266,234,212,2025-04-20,21.63,Return Journey
413,9762,88,240,2024-10-02,70.99,Single Journey
414,8033,206,247,2024-09-03,39.11,Single Journey
415,7987,80,153,2023-10-06,161.79,Return Journey
416,1018,111,98,2024-11-17,119.59,Daily Pass
417,6849,75,163,2024-01-12,110.93,Daily Pass
418,5495,211,113,2023-08-30,122.32,Return Journey
419,6858,153,13,2025-05-12,23.32,Return Journey
420,118,4,87,2024-02-19,21.61,Return Journey
421,8439,118,111,2024-08-18,198.62,Return Journey
422,6935,246,145,2025-01-02,96.9,Single Journey
423,6260,206,149,2024-10-01,194,Single Journey
424,6525,81,223,2023-04-23,120.4,Single Journey
425,8594,143,235,2023-09-06,41.07,Return Journey
426,865,193,162,2024-08-30,123.48,Return Journey
427,5587,188,36,2025-02-19,39.72,Single Journey
428,8852,125,122,2024-07-29,136.08,Single Journey
429,4589,74,115,2024-12-22,147.87,Return Journey
430,7078,192,111,2023-08-11,46.94,Daily Pass
431,4117,65,28,2024-07-09,14.99,Return Journey
432,3554,110,191,2025-03-17,35.91,Single Journey
433,743,13,145,2023-09-02,22.3,Daily Pass
434,9717,108,57,2023-08-05,100.89,Single Journey
435,3288,56,75,2024-08-04,144.34,Single Journey
436,2476,147,171,2024-07-15,37.08,Single Journey
437,2114,205,152,2023-01-02,121.46,Daily Pass
438,3384,133,138,2023-07-17,169.37,Return Journey
439,3284,38,230,2023-01-11,176.21,Return Journey
440,1022,84,246,2023-08-11,83.36,Single Journey
441,103,52,212,2024-07-10,106.19,Single Journey
442,7091,232,140,2025-01-15,64.59,Return Journey
443,3320,236,177,2024-09-18,164.92,Single Journey
444,3128,116,174,2025-02-16,11.02,Single Journey
445,6911,136,181,2024-07-31,35.25,Daily Pass
446,845,39,22,2024-12-11,23.35,Daily Pass
447,5215,106,248,2025-04-17,182.16,Single Journey
448,9194,193,182,2023-07-23,56.13,Return Journey
449,758,3,194,2023-11-14,171.99,Return Journey
450,9366,77,162,2023-07-08,25.42,Single Journey
451,2558,126,84,2025-06-01,199.34,Daily Pass
452,8740,46,61,2024-12-13,66.42,Daily Pass
453,4844,125,202,2023-07-07,166.11,Return Journey
454,6853,87,78,2024-06-21,24.86,Return Journey
455,8062,94,106,2025-03-01,179,Daily Pass
456,1067,8,202,2024-07-02,107.55,Daily Pass
457,9533,43,215,2023-08-08,172.24,Daily Pass
458,5941,86,133,2023-04-02,168.19,Single Journey
459,3581,74,49,2024-01-13,87.39,Return Journey
460,8603,115,120,2025-01-07,22.44,Single Journey
461,4904,54,154,2024-02-17,186.45,Single Journey
462,1504,103,171,2025-01-22,22.22,Return Journey
463,6220,92,121,2023-03-18,21.96,Return Journey
464,478,52,68,2024-05-11,25.41,Return Journey
465,9100,56,96,2023-06-08,81.15,Single Journey
466,7096,216,65,2024-06-20,56.67,Single Journey
467,1246,224,187,2025-09-27,65.95,Single Journey
468,1951,98,137,2023-05-21,71.79,Single Journey
469,8488,143,187,2023-07-16,64.2,Return Journey
470,7419,157,75,2025-05-13,79.82,Single Journey
471,6522,171,229,2024-10-24,113.61,Return Journey
472,8221,113,50,2024-10-10,91.16,Daily Pass
473,2431,111,139,2023-05-26,29.53,Single Journey
474,8350,142,91,2025-08-18,184.4,Single Journey
475,7343,217,46,2023-11-09,169.75,Single Journey
476,8865,150,216,2024-02-20,54.18,Return Journey
477,1905,233,158,2025-02-28,141.93,Single Journey
478,6264,219,23,2023-12-30,174.75,Single Journey
479,6376,176,173,2025-05-19,96.38,Single Journey
480,2602,69,192,2025-03-14,132.78,Return Journey
481,2928,13,47,2023-06-03,192.86,Daily Pass
482,3068,116,206,2023-10-13,21.76,Daily Pass
483,2579,209,226,2024-08-17,127.31,Single Journey
484,550,109,15,2025-07-05,186.25,Daily Pass
485,3759,145,66,2023-03-19,97.09,Daily Pass
486,3504,142,107,2025-08-22,137.89,Daily Pass
487,8816,102,19,2023-10-06,49.7,Daily Pass
488,7407,186,219,2025-03-09,38.09,Single Journey
489,2564,38,58,2024-12-25,73.69,Daily Pass
490,7461,65,183,2024-04-28,190.39,Return Journey
491,4857,9,141,2024-01-09,48.78,Return Journey
492,347,40,107,2023-11-12,126.43,Single Journey
493,8304,157,242,2025-09-20,85.41,Return Journey
494,7525,30,158,2024-01-13,56.24,Return Journey
495,4570,26,39,2025-02-08,33.92,Daily Pass
496,4842,124,220,2025-05-13,103.14,Return Journey
497,5732,17,112,2023-02-01,41.74,Return Journey
498,6548,79,112,2025-07-16,84.21,Return Journey
499,4008,1,45,2023-06-19,57.79,Return Journey
500,8719,246,36,2025-03-19,125.49,Daily Pass
501,613,220,95,2025-03-19,98.39,Return Journey
502,2613,105,2,2024-04-19,15.4,Return Journey
503,2876,249,175,2024-07-09,151.22,Single Journey
504,5685,130,103,2025-01-31,181.79,Return Journey
505,6705,60,223,2024-04-11,166.86,Daily Pass
506,8002,45,216,2024-08-15,103.11,Return Journey
507,6235,16,107,2024-10-05,157.83,Single Journey
508,9944,204,150,2023-04-26,101.37,Return Journey
509,6315,245,81,2025-07-10,48.99,Return Journey
510,21,200,73,2024-04-06,197.9,Return Journey
511,8953,60,1,2023-10-06,103.7,Daily Pass
512,7810,92,18,2023-07-22,196.25,Single Journey
513,9602,91,37,2023-03-28,66.22,Daily Pass
514,40,6,184,2024-05-08,22.32,Return Journey
515,9812,212,135,2025-03-21,115.53,Return Journey
516,7819,133,145,2025-02-25,100.2,Single Journey
517,871,62,133,2024-03-06,133.16,Return Journey
518,291,84,238,2025-05-24,18.51,Single Journey
519,3852,55,185,2023-07-08,141.74,Return Journey
520,1032,92,250,2025-08-29,52.12,Single Journey
521,3043,97,215,2023-01-15,76.53,Return Journey
522,5548,98,165,2024-02-03,170.23,Return Journey
523,9115,40,147,2023-03-22,104.8,Single Journey
524,5097,56,69,2025-04-22,123.4,Return Journey
525,5701,191,145,2025-06-26,186.75,Single Journey
526,263,69,221,2025-03-13,130.89,Single Journey
527,3601,165,220,2024-08-09,176.99,Return Journey
528,2166,103,97,2025-07-19,92.27,Single Journey
529,822,50,18,2023-01-20,46.04,Single Journey
530,2800,4,35,2024-06-13,108.31,Single Journey
531,8694,184,173,2024-10-05,198.02,Single Journey
